rater_id,B1_TR,B1_CC,B1_LR,B1_GRA,B1_HOL,B2_TR,B2_CC,B2_LR,B2_GRA,B2_HOL,C1_TR,C1_CC,C1_LR,C1_GRA,C1_HOL,duration_sec,text_order,B1_text_id,B2_text_id,C1_text_id,B1_comment,B2_comment,C1_comment,gender,age,education,TESOL_cert,ELT_exp_yrs,IELTS_status,current,IELTS_exp_yrs,rater_L1,rater_English,student_L1,L1_range,prof_range
R35,4.3,5.3,6.3,5.3,5.0,8.3,7.3,8.7,6.7,7.4,8.3,8.3,8.7,8.3,8.6,8241,C1_B1_B2,Text7,Text14,Text29,"For a Band 6 - freelance, firsthand, social experience, comparatively, errands, safeguard

vocabulary used incorrectly: hoard, corroborate, etc
","Sustained used of idiomatic expressions and collocations, wide range of lexical items

examples: readily obtained, equipped to face adulthood, put food on the table, see the reality and embrace it,...","Use of a wide lexical range, sustained use of idiomatic expressions and collocations used ",Female,40-49,MA,Cambridge CELTA,11-20,examiner,former,11-20,English,L1,Arabic,narrow,narrow
R36,5.7,5.3,5.7,5.0,5.0,6.7,6.3,7.0,6.7,6.5,7.3,7.0,9.3,8.3,8.6,1516,B2_C1_B1,Text9,Text13,Text24,"uses an adequate range of vocab, however, too many inaccuracies in word choice & collocations for a 6
attempts to use some less common lexical items
","not maintaining register; some mixed formal and informal language use (some awareness of style)
occasional errors in word choice: inaccuracies in use of prepositions and linking words and expression
uses some less common items with awareness of collocation 
overall some flexibility and precision of vocab items","wide range of lexis
uncommon lexis; excellent use of fixed expression, collocations and nominalizations
precise and flexible
natural use of lexis
good control over all lexical features (spelling, word choice and word formation)",Female,40-49,MA,Cambridge Delta,11-20,examiner,former,3-5,English,L1,Arabic,narrow,narrow
R37,5.3,5.0,5.3,5.3,5.0,7.3,6.0,6.7,7.0,6.8,8.3,8.7,9.3,9.0,9.6,128549,C1_B2_B1,Text6,Text19,Text26,"Vocabulary is 'minimally adequate' for the task. Simple language is used accurately (behavior, mature, culture). Some chunks are used correctly (life experience, everything they want, pocket money). Some errors of word choice cause difficulty for the reader (entrance to the bank, study at money)","This example doesn't seem very authentic. The writer uses some C1/C2 level words (surmise, paramount, pampered, scrutinized, gratification) that they are very unlikely to use while still unable to use some basic chunks correctly (food in the table). Many of the higher level words are used incorrectly or inappropriately. There are frequent inaccurate collocations (easily gave, hustle in, set their mind) and inappropriate word choices (love life, flaunts, gratification). Some less common items are used correctly (surmise, pampered, paramount, adulthood, well-trained). Some word choices are quite confusing for the reader but do not really 'impede communication'. I have never come across an example like this. ","The candidate uses a wide range of vocabulary, particularly sustained use of collocation (social environment, necessary skills, very early age, direct contribution, highly motivated, set goals, relevant example, etc). S/he uses dependent prepositions (contribute to, turn to crime, survive on). S/he also uses synonyms and antonyms to avoid repetition (poor/impoverished, children/offspring, robbed/cheated, realities/struggles/setbacks, luxuries/essential items). Sustained use of less common words (ultimate, sheer etc). S/he uses different forms of words with accuracy (motivated/motivation). There are no errors or inappropriacies in word choice.",Female,50-59,PhD,Cambridge Delta,>20,examiner trainer,former,>20,English,L1,Sinhalese,wide,wide
R38,6.0,4.7,5.0,4.7,5.0,8.0,7.3,7.0,6.7,7.1,7.7,7.7,7.3,7.3,7.0,1000,C1_B1_B2,Text6,Text32,Text29,I didn't notice any features which would take this learner above the five band. A lot of the lexis was not used correctly. ,"A good range of lexis adequate for the task. I felt the language was used accurately and appropriately; however, I felt the range was slightly limited. ","conceive, accompany, notwithstanding, sacrifice, predicament, premature, hussle",Male,40-49,MA,Trinity DipTESOL,>20,examiner,former,1-2,English,L1,Chinese,narrow,wide
R39,4.3,4.0,6.0,3.3,3.4,7.3,6.0,6.7,6.0,5.8,7.7,8.0,8.7,7.7,8.6,329500,C1_B1_B2,Text4,Text12,Text25,"There was a decent range of vocabulary related to the topic, but it needed to be seen separate to the grammar:
tremendous
independent
prepared
chores
journalist
life experience
pocket money
perfectly prepared","There is a decent range of more complex lexis, such as:
to be equipped to
put food on the table
the power of money
the art of making money
decide for themselves

but these included some inaccuracies of use at tims.

There is also repetition of certain basic lexis, such as 'brought up' 'work hard' and synonyms could have been used here.  
","There was a wide range of use of collocations and phrases and of less common language:
offspring
premature exposure to
sacrificing luxuries for essential items
to serve as
they tend to
an impoverished background
robbed of their childhood
sheer motivation",Female,50-59,MA,Cambridge Delta,>20,examiner,former,6-10,English,L1,various,wide,narrow
R40,5.3,5.3,5.3,5.3,5.0,5.7,6.3,7.0,6.7,6.7,9.3,8.0,9.3,8.0,9.5,2108,C1_B2_B1,Text1,Text11,Text30,"There is a limited range of vocabulary and several words that have been repeated from the rubric, such as 'children' 'parents' 'buy' 'money'. Although there are not any mistakes in word formation, the limited range keeps it at a 5.","The TT uses a range of relevant language which shows some flexibility; however, there is a large amount of lexis that is repeated from the rubric. They have demonstrated an awareness of collocation and less common lexical items, such as 'psychological values' 'well-trained to face adulthood' 'worked very hard just to put food in the table' 'their eyes are blinded by the power of money'.",The TT used a 'wide range of language with very natural and sophisticated control of lexical features'. Some examples from the text to support this include: 'prematurely exposed to predicaments' 'sacrificing luxuries' 'necessary skills for survival' 'making a direct contribution to their families in terms of labor and subsistence' 'an impoverished background...used his ingenuity and perseverance to set up the worlds pre-eminent technology company'. ,Male,30-39,MA,Cambridge Delta,11-20,examiner,former,11-20,English,L1,various,narrow,wide
R41,4.0,3.3,2.3,3.0,2.9,7.0,5.3,5.7,5.3,5.1,7.3,6.3,6.7,6.3,6.1,1329,C1_B1_B2,Text2,Text18,Text28,"The writer didn't really answer the question well, and the grammar made it very difficult to follow and understand. The use of ""ing"" inappropriately and ""20 ages"" and over use of ""by"" stand out as examples that made comprehension difficult.","The use of ""bestowed"" makes me think they're trying to use more advanced vocabulary, but it doesn't come off well. They also switch verb tenses.","Overall, the writer answered the question but could have used more organization with more supporting details. The comma problem with their attempted use of ""however"" stands out in my memory. I don't recall any particular complex structures or vocabulary used.",Female,40-49,BA,Not_stated,11-20,Not an examiner,Not an examiner,1>,English,L1,Spanish,narrow,wide
R42,5.0,5.0,6.7,4.7,5.0,7.3,6.3,6.7,6.3,6.2,9.3,9.7,9.3,9.7,9.4,968,B2_B1_C1,Text10,Text15,Text23,"Interesting text. Some quite unusual lexis eg 'posit', 'resilient', 'procure'. In a way this sticks out as not being in keeping with the standard of the rest of the text. ","I can't remember the exact chunks etc. but generally some good attempts at more unusual language, but a number of inaccuracies.","All accurate use of lexis. Collocations and lexical chunks used accurately and appropriately eg 'set ambitious goals', 'humble background'.",Male,50-59,MA,Cambridge Delta,>20,examiner,former,3-5,English,L1,Chinese,wide,wide
R43,4.3,4.3,3.3,3.3,3.4,5.3,5.3,5.3,5.3,5.0,8.3,7.3,7.3,7.3,7.5,742,B2_B1_C1,Text2,Text18,Text26,,"there was a lot of repetition, low range, inflexible use","there were some quite advanced words (can't remember specific examples, unfortunately). But there were also some mistakes and misuse, which didn't cause much difficulty for the reader, though",Male,30-39,PhD,Cambridge Delta,11-20,examiner,former,1-2,Polish,L2,various,wide,narrow
R44,5.7,5.0,5.3,4.3,4.9,5.3,5.7,5.7,5.0,5.1,5.7,5.3,5.3,4.7,5.0,4531,B1_C1_B2,Text8,Text17,Text27,"Although the candidate attempted to utilise more advanced words - with mixed accuracy (e.g. hoard), these did not improve the quality of their written response. Generating more of a mixed register/style.","Despite the fact that the paragraphing of this essay was imbalanced, there was a good lexical range throughout the essay. In some cases, however, the choice of topic vocabulary was inappropriate (e.g. allure, dazzled). Subjectively, there appears to be more confidence in this prose than in the previous two, which were clunky.","There is more of a uniformity of similar-levelled words such as highly motivated, encounter, and survival amongst some less common words such as impoverished (despite being crude), quintessential, and sociocultural.",unknown,40-49,BA,Cambridge CELTA,11-20,examiner,former,1>,Portuguese,L2,English,wide,wide
R45,5.3,5.3,6.3,5.3,5.5,7.3,6.3,7.7,6.3,6.3,5.3,6.3,8.3,8.7,8.5,2634,C1_B1_B2,Text5,Text20,Text28,"That they have adequate vocabulary to talk about the topic e.g. pocket money, work, support, income, etc., but not the flexibility and accuracy of higher bands","They are aware of less common lexis and idiomatic phrases e.g. hustle, scrutinised and blinded by the power of money but accuracy of use prevents higher grade","The less common and sophisticated use of lexis relevant to the topic e.g. impoverished, shun, quitiessential, to peddle etc.",Female,60-69,BA,Cambridge Delta,>20,examiner,former,>20,English,L1,Spanish,narrow,wide
R46,4.3,5.3,6.0,5.3,4.8,6.3,6.3,7.7,6.3,6.4,8.3,7.3,8.3,7.3,7.7,2774,B1_C1_B2,Text3,Text16,Text24,"Surprisingly good spelling (which immediately makes you think that it's not a real essay written by a test-taker)!
Some attempts at using less common words [tremendous] and collocations [doing chores; pocket money], but not always appropriately [tremendous parents ?]. However, some inappropriacies, on occasion, interfere with the message and this barely makes Band 6. Having said that, LR is still the strongest feature of the candidate's writing.","Just like with the first two samples, LR is the strongest feature here. ""Put food on the table; acquire the art of money making; attain, endure..."" are just some examples of less common and highly precise vocab items the candidate uses. 
There is, however, some overuse of the input material from the prompt: ""families that do not have large amount(s) of money"" is repeated three times, indicating a certain lack of flexibility, which precludes band 8 rating.","The range of vocab used is wide; the cand. manages to convey precise meanings. There are, however, some awkward attempts to use (near) synonyms, presumably to avoid repetition [with modest backgrounds; humble] but these have no impact on understanding. No spelling mistakes whatsoever!",Male,40-49,MA,Cambridge CELTA,11-20,examiner trainer,former,11-20,English; Russian,L1,various,wide,narrow
R47,5.0,4.7,5.3,5.3,5.1,6.0,5.7,7.0,6.3,6.1,7.3,6.3,7.7,7.7,6.5,40181,C1_B1_B2,Text8,Text17,Text33,The lexical resource was OK but not always integrated well into a sentence.,Some good lexical items but not always used consistently.,"There was a rich vocabulary with good expressions eg. highly motivated, impoverished, turn to crime etc.",Female,70+,BA,Cambridge Delta,>20,examiner,former,6-10,English,L1,Hebrew,wide,wide
R48,4.0,4.0,4.7,3.7,4.8,5.3,5.0,6.0,5.3,5.8,6.3,6.0,7.0,7.3,7.4,1766,C1_B2_B1,Text9,Text17,Text27,"Spelling was generally accurate and only a few spelling issues caused meaning from coming through. However, the test taker struggled with word formation which caused strain for the reader.","With this test taker, there was quite a lot of repetition of lexical items such as money. They did well to use some less common phrasing with some accuracy but to score higher, they would have needed to expand their language more.","The test taker took risks with their language and attempted to use high-level, less frequent lexis. However, they had more than an occasional inaccuracy which showed a lack of control of the language needed for a higher score. There seems to be a good effort and understanding of less frequent language, showing that had the test taker not taken such a risk, there may have been better control.",Female,30-39,MA,Cambridge CELTA,11-20,examiner,current,3-5,English,L1,Arabic,wide,narrow
